Brand,HotelFeatures,HotelAttributes,KidsServices,Price,altID,obsID,qID,respID
DoubleTree,Connected room guaranteed,Access to sports facilities,Kids themed rooms,AU 195,1,108,9,10
Novotel,Large spacious rooms,Babysitting service,Kids activities planned by hotel staff,AU 220,2,108,9,10
Marriott,Family activities located nearby,Variety of restaurants,Kids themed rooms,AU 295,1,109,10,10
Hilton,Pool,Access to sports facilities,Kids activities planned by hotel staff,AU 195,2,109,10,10
DoubleTree,Central or desirable location,Variety of restaurants,Kids eat free,AU 270,1,110,11,10
Novotel,Connected room guaranteed,Access to sports facilities,Kids themed rooms,AU 295,2,110,11,10
Hilton,Connected room guaranteed,Complimentary breakfast,Kids eat free,AU 220,1,111,1,11
DoubleTree,Large spacious rooms,Variety of restaurants,Kids themed rooms,AU 245,2,111,1,11
Novotel,Pool,Babysitting service,Playground or Kids only play areas,AU 295,1,112,2,11
Intercontinental,Central or desirable location,All inclusive,Kids eat free,AU 195,2,112,2,11
Marriott,Large spacious rooms,Variety of restaurants,Kids activities planned by hotel staff,AU 245,1,113,3,11
Hilton,Family activities located nearby,Access to sports facilities,Kids Club,AU 270,2,113,3,11
Novotel,Family activities located nearby,Babysitting service,Playground or Kids only play areas,AU 195,1,114,4,11
Intercontinental,Pool,All inclusive,Kids eat free,AU 220,2,114,4,11
DoubleTree,Central or desirable location,Complimentary breakfast,Kids eat free,AU 195,1,115,5,11
Novotel,Connected room guaranteed,Variety of restaurants,Kids themed rooms,AU 220,2,115,5,11
Marriott,Central or desirable location,Babysitting service,Kids eat free,AU 295,1,116,6,11
Hilton,Connected room guaranteed,All inclusive,Kids themed rooms,AU 195,2,116,6,11
Hilton,Family activities located nearby,Variety of restaurants,Kids Club,AU 295,1,117,7,11
DoubleTree,Pool,Access to sports facilities,Playground or Kids only play areas,AU 195,2,117,7,11
Intercontinental,Pool,Variety of restaurants,Kids Club,AU 195,1,118,8,11
Marriott,Central or desirable location,Access to sports facilities,Playground or Kids only play areas,AU 220,2,118,8,11
